model_size,GPU,seq_len*GBS,tp*cp,pp*ep,recompute_mode,tflops_per_gpu,peak_mem_gb,notes
35B,32x H100 80G,128k*64,2*2,2*16,full,,,
35B,32x H100 80G,128k*64,2*4,2*16,full,81,38,
35B,32x H100 80G,128k*64,2*1,4*8,full,,,
35B,32x H100 80G,128k*64,2*2,4*8,full,128,43,
35B,32x H100 80G,128k*64,2*4,2*16,selective_moe,,,
35B,32x H100 80G,128k*64,2*8,2*16,selective_moe,77,58,
35B,32x H100 80G,128k*64,2*2,4*8,selective_moe,,,
35B,32x H100 80G,128k*64,2*4,4*8,selective_moe,,,
35B,32x H100 80G,128k*64,2*4,1*4,full,169,43,megatron-fsdp
35B,32x H100 80G,128k*64,2*4,1*8,full,173,43,megatron-fsdp
35B,32x H100 80G,128k*64,2*4,1*8,full,173,43,megatron-fsdp; DeepEP; 
35B,32x H100 80G,128k*64,2*4,1*8,full,178,44,megatron-fsdp; MoE fusion; 
35B,32x H100 80G,128k*64,2*4,1*8,full,181,43,megatron-fsdp; DeepEP; MoE fusion; 
35B,32x H100 80G,128k*64,2*4,1*16,full,137,43,megatron-fsdp
35B,32x H100 80G,128k*64,2*8,1*4,full,115,35,megatron-fsdp
35B,32x H100 80G,128k*64,2*8,1*8,full,126,34,megatron-fsdp
35B,32x H100 80G,128k*64,2*8,1*16,full,111,34,megatron-fsdp
122B,128x H100 80G,128k*64,2*2,8*8,full,117,72,optimizer_cpu_offload_fraction=1
122B,128x H100 80G,128k*64,2*4,4*8,full,142,65,optimizer_cpu_offload_fraction=1
